iter	RMSE
257	4.529392227
258	4.528510908
259	4.526717238
260	4.523400601
261	4.522623038
262	4.517432113
263	4.516599641
264	4.514536047
265	4.512860666
266	4.509010402
267	4.506179268
268	4.49971155
269	4.498881976
270	4.497303045
271	4.494424316
272	4.493008566
273	4.486955776
274	4.484511075
275	4.479741459
276	4.475674761
277	4.473633723
278	4.472693153
279	4.468152116
280	4.462525984
281	4.460759825
282	4.455570218
283	4.453528884
284	4.45093395
285	4.447643718
286	4.443147552
287	4.438818231
288	4.434515887
289	4.430516482
290	4.42549509
291	4.421973393
292	4.418164658
293	4.412774908
294	4.40798749
295	4.406728475
296	4.404170978
297	4.403855403
298	4.399009173
299	4.396502796
300	4.39038462
301	4.388776093
302	4.382977723
303	4.382015775
304	4.377612572
305	4.37676639
306	4.371411223
307	4.36628755
308	4.365259021
309	4.360734316
310	4.355308104
311	4.354384634
312	4.34835042
313	4.344985583
314	4.343650328
315	4.342370728
316	4.341682456
317	4.340802964
318	4.337387055
319	4.33634463
320	4.333375546
321	4.331416001
322	4.323848662
323	4.320193876
324	4.315343578
325	4.31173601
326	4.308468597
327	4.303282075
328	4.30128958
329	4.299042372
330	4.293483625
331	4.291549032
332	4.289998165
333	4.285319102
334	4.284463937
335	4.279457466
336	4.277150329
337	4.275715251
338	4.27408577
339	4.268977096
340	4.267061228
341	4.26006031
342	4.253389179
343	4.250795018
344	4.250221804
345	4.247786368
346	4.24643412
347	4.244451174
348	4.243575053
349	4.239317622
350	4.23909045
351	4.233666062
352	4.233267658
353	4.229977706
354	4.22477148
355	4.221848639
356	4.219985504
357	4.214980811
358	4.214469977
359	4.213554077
360	4.210819168
361	4.210058044
362	4.206113221
363	4.202261352
364	4.198823571
365	4.198605059
366	4.195338005
367	4.1947254
368	4.190138087
369	4.188016995
370	4.184737322
371	4.182314506
372	4.178627232
373	4.173766928
374	4.171455454
375	4.168213856
376	4.166802015
377	4.163466809
378	4.161624112
379	4.161194447
380	4.155898657
381	4.151736754
382	4.14979043
383	4.146728443
384	4.14199313
385	4.138732328
386	4.137906538
387	4.134818075
388	4.134330749
389	4.130593974
390	4.128220053
391	4.126384945
392	4.123406162
393	4.120595197
394	4.118268446
395	4.115509702
396	4.114564054
397	4.113853904
398	4.113240431
399	4.110101326
400	4.108488992
401	4.108076916
402	4.102273675
403	4.097152484
404	4.096321597
405	4.095883634
406	4.093694231
407	4.089109797
408	4.084891672
409	4.082444518
410	4.078932514
411	4.073861368
412	4.072063698
413	4.067519303
414	4.066059372
415	4.064054369
416	4.06385896
417	4.061677786
418	4.056351249
419	4.055672573
420	4.051967973
421	4.049742463
422	4.047650439
423	4.046061685
424	4.042851126
425	4.041755013
426	4.040320221
427	4.037566398
428	4.03508788
429	4.033760049
430	4.032067342
431	4.025973721
432	4.023737567
433	4.01937946
434	4.019198414
435	4.016502385
436	4.013331989
437	4.011623641
438	4.008596536
439	4.007422467
440	4.006494873
441	4.003191155
442	4.000023266
443	3.996196498
444	3.994592324
445	3.992598034
446	3.989264053
447	3.985057364
448	3.984237764
449	3.981043727
450	3.977707598
451	3.976992395
452	3.975634631
453	3.972792994
454	3.969389068
455	3.96894537
456	3.964808752
457	3.961360039
458	3.956976899
459	3.955047912
460	3.953936689
461	3.951234152
462	3.950528221
463	3.949018507
464	3.947272585
465	3.945095186
466	3.943269495
467	3.940534601
468	3.939325272
469	3.936560786
470	3.932978545
471	3.929179871
472	3.92645274
473	3.925324164
474	3.921174784
475	3.920062774
476	3.914307102
477	3.912565656
478	3.911974017
479	3.910073023
480	3.907920892
481	3.906211461
482	3.902704222
483	3.901048075
484	3.897874695
485	3.892688519
486	3.892361327
487	3.890306118
488	3.889986111
489	3.887631739
490	3.886997211
491	3.884340466
492	3.881910428
493	3.878804983
494	3.878241825
495	3.875442402
496	3.872129167
497	3.867343259
498	3.866653254
499	3.861493736
500	3.860171967
501	3.859752858
502	3.855035332
503	3.854676642
504	3.851988992
505	3.849922865
506	3.847795349
507	3.844475614
508	3.844347954
509	3.841197968
510	3.839800146
511	3.837298941
512	3.836489659
513	3.834463096
514	3.833849275
515	3.833191004
516	3.831841221
517	3.83120415
518	3.830660582
519	3.830500721
520	3.828612903
521	3.826468758
522	3.822504842
523	3.818483115
524	3.815040842
525	3.814661904
526	3.812622444
527	3.811378132
528	3.809215643
529	3.805476022
530	3.805021013
531	3.802370743
532	3.798765158
533	3.798424367
534	3.797821856
535	3.791225135
536	3.790188414
537	3.78988837
538	3.786547327
539	3.784912069
540	3.784366457
541	3.782714042
542	3.778283987
543	3.776262331
544	3.774370936
545	3.774229509
546	3.770742584
547	3.770414432
548	3.768783194
549	3.768231553
550	3.765896215
551	3.761705423
552	3.759638638
553	3.757458709
554	3.753999184
555	3.752199201
556	3.75182603
557	3.750793749
558	3.749163183
559	3.748490991
560	3.745224958
561	3.741944982
562	3.740049072
563	3.739483228
564	3.73797285
565	3.735357145
566	3.732121499
567	3.729602812
568	3.726676059
569	3.723274973
570	3.720842595
571	3.718075357
572	3.716687518
573	3.716263325
574	3.712843525
575	3.712372334
576	3.712242632
577	3.712117414
578	3.709240346
579	3.706231876
580	3.706109492
581	3.704170825
582	3.70258122
583	3.702233069
584	3.699131769
585	3.696208617
586	3.694940527
587	3.694292872
588	3.692871922
589	3.691833508
590	3.687914857
591	3.685879078
592	3.683823514
593	3.682524972
594	3.681667544
595	3.681392796
596	3.678096321
597	3.677484824
598	3.6746602
599	3.673314457
600	3.670582162
601	3.670345003
602	3.66858841
603	3.665862014
604	3.662133105
605	3.662029698
606	3.659989038
607	3.658706592
608	3.655101561
609	3.653482258
610	3.650728478
611	3.648446948
612	3.64818222
613	3.647927084
614	3.646385932
615	3.643436671
616	3.643056307
617	3.641293614
618	3.641052952
619	3.63966354
620	3.638644818
621	3.636929102
622	3.634122771
623	3.631695745
624	3.6270829
625	3.6236704
626	3.618871642
627	3.617884531
628	3.615249105
629	3.61118238
630	3.605008423
631	3.602153425
632	3.602054764
633	3.600818487
634	3.598039269
635	3.597425155
636	3.596844088
637	3.596024546
638	3.591971428
639	3.591461504
640	3.589493314
641	3.588418086
642	3.584205477
643	3.582160562
644	3.581166304
645	3.580372384
646	3.578428221
647	3.575973775
648	3.575310473
649	3.57141693
650	3.57072688
651	3.569279367
652	3.565761255
653	3.565658892
654	3.564880862
655	3.561703935
656	3.561495263
657	3.558913825
658	3.554696898
659	3.554400688
660	3.552090494
661	3.551793728
662	3.550538908
663	3.548195253
664	3.544952743
665	3.542725291
666	3.541114544
667	3.540812585
668	3.540286659
669	3.537625172
670	3.536203667
671	3.534910876
672	3.532779453
673	3.532558365
674	3.532348711
675	3.530311419
676	3.52741779
677	3.527153701
678	3.527072625
679	3.526567683
680	3.524700986
681	3.524318573
682	3.521671197
683	3.520374566
684	3.517345229
685	3.514668232
686	3.512417064
687	3.511985106
688	3.511777387
689	3.509843888
690	3.507007624
691	3.505886519
692	3.5056219
693	3.503343192
694	3.502112083
695	3.50023204
696	3.498036318
697	3.495762156
698	3.493274363
699	3.492892711
700	3.492821194
701	3.490709385
702	3.489392869
703	3.487527461
704	3.484211203
705	3.481473776
706	3.481204897
707	3.480433966
708	3.47802327
709	3.47548599
710	3.475415049
711	3.471435584
712	3.468576435
713	3.465018033
714	3.463787755
715	3.461994475
716	3.461369386
717	3.459768891
718	3.455776238
719	3.452126184
720	3.446827242
721	3.444075872
722	3.441909233
723	3.438660464
724	3.435970151
725	3.43296403
726	3.432001576
727	3.42905201
728	3.424080923
729	3.422134867
730	3.4190475
731	3.417572764
732	3.416661191
733	3.414576185
734	3.413583388
735	3.410555636
736	3.409720767
737	3.409319537
738	3.40892619
739	3.407756842
740	3.40559668
741	3.401388348
742	3.40028422
743	3.399035286
744	3.396726412
745	3.395555656
746	3.394475751
747	3.393884561
748	3.390212877
749	3.389968552
750	3.389724073
751	3.387081021
752	3.386019944
753	3.383419228
754	3.382725128
755	3.380858494
756	3.378595544
757	3.377209198
758	3.37517855
759	3.375043787
760	3.372987639
761	3.371001727
762	3.368510927
763	3.365844624
764	3.363623669
765	3.361899191
766	3.35918905
767	3.358749785
768	3.357438085
769	3.354604358
770	3.354238146
771	3.353139257
772	3.352597813
773	3.350178092
774	3.347944242
775	3.346512355
776	3.345217134
777	3.343428789
778	3.341628354
779	3.340669878
780	3.338142847
781	3.337697701
782	3.335023873
783	3.333819207
784	3.332470482
785	3.331393332
786	3.330722855
787	3.32966335
788	3.32898394
789	3.325673073
790	3.324043433
791	3.323974026
792	3.322850229
793	3.320590918
794	3.31798906
795	3.316053817
796	3.314178347
797	3.314013139
798	3.313451377
799	3.312248317
800	3.312002976
801	3.309934444
802	3.309559361
803	3.309522487
804	3.308324611
805	3.305732103
806	3.304963397
807	3.302999027
808	3.302449264
809	3.301495556
810	3.30000721
811	3.299647713
812	3.295960971
813	3.294143855
814	3.292236097
815	3.289826114
816	3.287784262
817	3.287651839
818	3.286987408
819	3.284359388
820	3.283533944
821	3.282951943
822	3.282494946
823	3.281093615
824	3.279044931
825	3.277703825
826	3.27412119
827	3.272482565
828	3.271976281
829	3.268521225
830	3.265510768
831	3.261742231
832	3.260644365
833	3.259269189
834	3.258223421
835	3.2573901
836	3.256219635
837	3.25583388
838	3.254052631
839	3.25185463
840	3.2475275
841	3.2438583
842	3.24262587
843	3.241844907
844	3.240872599
845	3.237669272
846	3.237152822
847	3.236725438
848	3.234975862
849	3.232245129
850	3.228958046
851	3.226552362
852	3.226256379
853	3.224062339
854	3.223006678
855	3.222463058
856	3.221353942
857	3.21891195
858	3.217848076
859	3.217610878
860	3.21496568
861	3.212310438
862	3.21069317
863	3.206943184
864	3.206003185
865	3.204310047
866	3.203990757
867	3.202871854
868	3.202175101
869	3.201654723
870	3.198975053
871	3.197676623
872	3.195972731
873	3.195929493
874	3.195231269
875	3.193677016
876	3.191740178
877	3.190112483
878	3.18856804
879	3.187776218
880	3.185326503
881	3.182555204
882	3.180237903
883	3.178563133
884	3.177981234
885	3.174751202
886	3.171492407
887	3.170112258
888	3.168972608
889	3.167429482
890	3.16643738
891	3.163582971
892	3.162090361
893	3.160523929
894	3.157677994
895	3.155889906
896	3.154092577
897	3.153292659
898	3.151498443
899	3.151296401
900	3.151127817
901	3.150105063
902	3.149883702
903	3.148296583
904	3.145991784
905	3.143493097
906	3.141595864
907	3.13949712
908	3.137547229
909	3.136957376
910	3.133696041
911	3.131564452
912	3.129839964
913	3.12878877
914	3.126999082
915	3.124928101
916	3.124563813
917	3.122566994
918	3.120573119
919	3.120284004
920	3.120237691
921	3.115624948
922	3.115453636
923	3.113546811
924	3.110950517
925	3.110200213
926	3.107787307
927	3.106564622
928	3.105333754
929	3.102637722
930	3.102506943
931	3.100048718
932	3.100028532
933	3.098190557
934	3.098010632
935	3.09783693
936	3.097541106
937	3.096532725
938	3.094434846
939	3.093689593
940	3.092768263
941	3.090941799
942	3.088840632
943	3.087547236
944	3.085765655
945	3.084465143
946	3.082963048
947	3.081052383
948	3.079697464
949	3.076964304
950	3.07644697
951	3.073877653
952	3.072460174
953	3.069893712
954	3.069314242
955	3.067879896
956	3.066303103
957	3.064450994
958	3.062526644
959	3.061995442
960	3.06121961
961	3.06075199
962	3.058695777
963	3.058143382
964	3.056703309
965	3.055861063
966	3.0527492
967	3.052252538
968	3.050091379
969	3.049523375
970	3.048625777
971	3.047867041
972	3.047729796
973	3.046349985
974	3.044016681
975	3.042838825
976	3.040989926
977	3.040701817
978	3.037144979
979	3.036925208
980	3.034248336
981	3.033539198
982	3.033086557
983	3.031833225
984	3.030833314
985	3.029261718
986	3.028424852
987	3.02622937
988	3.025358137
989	3.025021541
990	3.024547687
991	3.02388892
992	3.02225652
993	3.021414113
994	3.020236618
995	3.018714625
996	3.016700565
997	3.015339624
998	3.014399887
999	3.011469414
